bus,p_nom,carrier,entry,exit,efficiency,start_up_cost,ramp_limit_up,ramp_limit_down,p_min_pu,min_up_time,min_down_time,var_om,p_nom_max,p_nom_min,invest_status
DKE1,69.83719391131703,CCGT,2028,2033.0,0.5216666666666666,39.025,2.0,3.0000000000000004,0.43333333333333335,2.6666666666666665,2.6666666666666665,1.866666666666667,69.83719391131703,0.01,existing
DKE1,193.46790205162145,CCGT,2028,2036.0,0.5216666666666666,39.025,2.0,3.0000000000000004,0.43333333333333335,2.6666666666666665,2.6666666666666665,1.866666666666667,193.46790205162145,0.01,existing
DKW1,153.83057577763066,CCGT,2028,2030.0,0.5216666666666666,39.025,2.0,3.0000000000000004,0.43333333333333335,2.6666666666666665,2.6666666666666665,1.866666666666667,153.83057577763066,0.01,existing
DKW1,713.4718729318333,CCGT,2028,2033.0,0.5216666666666666,39.025,2.0,3.0000000000000004,0.43333333333333335,2.6666666666666665,2.6666666666666665,1.866666666666667,713.4718729318333,0.01,existing
DKW1,406.7544672402382,CCGT,2028,2036.0,0.5216666666666666,39.025,2.0,3.0000000000000004,0.43333333333333335,2.6666666666666665,2.6666666666666665,1.866666666666667,406.7544672402382,0.01,existing
EE00,111.18251928020565,CCGT,2028,2035.0,0.5216666666666666,39.025,2.0,3.0000000000000004,0.43333333333333335,2.6666666666666665,2.6666666666666665,1.866666666666667,111.18251928020565,0.01,existing
EE00,111.18251928020565,CCGT,2030,inf,0.5216666666666666,39.025,2.0,3.0000000000000004,0.43333333333333335,2.6666666666666665,2.6666666666666665,1.866666666666667,111.18251928020565,0.01,existing
ES00,305.1640675483395,CCGT,2028,2030.0,0.5216666666666666,39.025,2.0,3.0000000000000004,0.43333333333333335,2.6666666666666665,2.6666666666666665,1.866666666666667,305.1640675483395,0.01,existing
ES00,14001.04422833022,CCGT,2028,2036.0,0.5216666666666666,39.025,2.0,3.0000000000000004,0.43333333333333335,2.6666666666666665,2.6666666666666665,1.866666666666667,14001.04422833022,0.01,existing
FI00,36.16525776053214,CCGT,2028,2030.0,0.5216666666666666,39.025,2.0,3.0000000000000004,0.43333333333333335,2.6666666666666665,2.6666666666666665,1.866666666666667,36.16525776053214,0.01,existing
FI00,38.638095898004394,CCGT,2028,2033.0,0.5216666666666666,39.025,2.0,3.0000000000000004,0.43333333333333335,2.6666666666666665,2.6666666666666665,1.866666666666667,38.638095898004394,0.01,existing
FI00,330.1238913525499,CCGT,2028,2036.0,0.5216666666666666,39.025,2.0,3.0000000000000004,0.43333333333333335,2.6666666666666665,2.6666666666666665,1.866666666666667,330.1238913525499,0.01,existing
FI00,265.83009977827044,CCGT,2035,inf,0.5216666666666666,39.025,2.0,3.0000000000000004,0.43333333333333335,2.6666666666666665,2.6666666666666665,1.866666666666667,265.83009977827044,0.01,existing
FR00,225.8151998450321,CCGT,2028,2030.0,0.5216666666666666,39.025,2.0,3.0000000000000004,0.43333333333333335,2.6666666666666665,2.6666666666666665,1.866666666666667,225.8151998450321,0.01,existing
FR00,858.0977594111191,CCGT,2028,2033.0,0.5216666666666666,39.025,2.0,3.0000000000000004,0.43333333333333335,2.6666666666666665,2.6666666666666665,1.866666666666667,858.0977594111191,0.01,existing
FR00,745.1901594886031,CCGT,2028,2035.0,0.5216666666666666,39.025,2.0,3.0000000000000004,0.43333333333333335,2.6666666666666665,2.6666666666666665,1.866666666666667,745.1901594886031,0.01,existing
FR00,8089.829534448246,CCGT,2028,2036.0,0.5216666666666666,39.025,2.0,3.0000000000000004,0.43333333333333335,2.6666666666666665,2.6666666666666665,1.866666666666667,8089.829534448246,0.01,existing
GR00,1307.833089311859,CCGT,2028,2035.0,0.5216666666666666,39.025,2.0,3.0000000000000004,0.43333333333333335,2.6666666666666665,2.6666666666666665,1.866666666666667,1307.833089311859,0.01,existing
GR00,5245.4486509098515,CCGT,2028,2036.0,0.5216666666666666,39.025,2.0,3.0000000000000004,0.43333333333333335,2.6666666666666665,2.6666666666666665,1.866666666666667,5245.4486509098515,0.01,existing
GR00,24.911106463083343,CCGT,2030,inf,0.5216666666666666,39.025,2.0,3.0000000000000004,0.43333333333333335,2.6666666666666665,2.6666666666666665,1.866666666666667,24.911106463083343,0.01,existing
HR00,886.1182676290948,CCGT,2028,2033.0,0.5216666666666666,39.025,2.0,3.0000000000000004,0.43333333333333335,2.6666666666666665,2.6666666666666665,1.866666666666667,886.1182676290948,0.01,existing
HR00,106.44336479733488,CCGT,2028,2035.0,0.5216666666666666,39.025,2.0,3.0000000000000004,0.43333333333333335,2.6666666666666665,2.6666666666666665,1.866666666666667,106.44336479733488,0.01,existing
HR00,530.3972792892837,CCGT,2028,2036.0,0.5216666666666666,39.025,2.0,3.0000000000000004,0.43333333333333335,2.6666666666666665,2.6666666666666665,1.866666666666667,530.3972792892837,0.01,existing
HU00,36.99111701755601,CCGT,2028,2033.0,0.5216666666666666,39.025,2.0,3.0000000000000004,0.43333333333333335,2.6666666666666665,2.6666666666666665,1.866666666666667,36.99111701755601,0.01,existing
HU00,323.27019654472997,CCGT,2028,2035.0,0.5216666666666666,39.025,2.0,3.0000000000000004,0.43333333333333335,2.6666666666666665,2.6666666666666665,1.866666666666667,323.27019654472997,0.01,existing
HU00,2288.6243267818422,CCGT,2028,2036.0,0.5216666666666666,39.025,2.0,3.0000000000000004,0.43333333333333335,2.6666666666666665,2.6666666666666665,1.866666666666667,2288.6243267818422,0.01,existing
HU00,1137.0747709309644,CCGT,2030,inf,0.5216666666666666,39.025,2.0,3.0000000000000004,0.43333333333333335,2.6666666666666665,2.6666666666666665,1.866666666666667,1137.0747709309644,0.01,existing
IE00,4985.372730509078,CCGT,2028,2036.0,0.5216666666666666,39.025,2.0,3.0000000000000004,0.43333333333333335,2.6666666666666665,2.6666666666666665,1.866666666666667,4985.372730509078,0.01,existing
ITCA,2967.870870984649,CCGT,2028,2036.0,0.5216666666666666,39.025,2.0,3.0000000000000004,0.43333333333333335,2.6666666666666665,2.6666666666666665,1.866666666666667,2967.870870984649,0.01,existing
ITCN,1697.8512133669276,CCGT,2028,2036.0,0.5216666666666666,39.025,2.0,3.0000000000000004,0.43333333333333335,2.6666666666666665,2.6666666666666665,1.866666666666667,1697.8512133669276,0.01,existing
ITCS,6062.069957249576,CCGT,2028,2036.0,0.5216666666666666,39.025,2.0,3.0000000000000004,0.43333333333333335,2.6666666666666665,2.6666666666666665,1.866666666666667,6062.069957249576,0.01,existing
ITN1,23486.099596807297,CCGT,2028,2036.0,0.5216666666666666,39.025,2.0,3.0000000000000004,0.43333333333333335,2.6666666666666665,2.6666666666666665,1.866666666666667,23486.099596807297,0.01,existing
ITS1,4332.215596011644,CCGT,2028,2036.0,0.5216666666666666,39.025,2.0,3.0000000000000004,0.43333333333333335,2.6666666666666665,2.6666666666666665,1.866666666666667,4332.215596011644,0.01,existing
ITSA,42.9515931952943,CCGT,2028,2036.0,0.5216666666666666,39.025,2.0,3.0000000000000004,0.43333333333333335,2.6666666666666665,2.6666666666666665,1.866666666666667,42.9515931952943,0.01,existing
ITSI,3089.1459576537154,CCGT,2028,2036.0,0.5216666666666666,39.025,2.0,3.0000000000000004,0.43333333333333335,2.6666666666666665,2.6666666666666665,1.866666666666667,3089.1459576537154,0.01,existing
LT00,368.5941644562334,CCGT,2028,2036.0,0.5216666666666666,39.025,2.0,3.0000000000000004,0.43333333333333335,2.6666666666666665,2.6666666666666665,1.866666666666667,368.5941644562334,0.01,existing
LT00,227.26790450928382,CCGT,2030,inf,0.5216666666666666,39.025,2.0,3.0000000000000004,0.43333333333333335,2.6666666666666665,2.6666666666666665,1.866666666666667,227.26790450928382,0.01,existing
LUG1,5.524192848503113,CCGT,2028,2030.0,0.5216666666666666,39.025,2.0,3.0000000000000004,0.43333333333333335,2.6666666666666665,2.6666666666666665,1.866666666666667,5.524192848503113,0.01,existing
LUG1,4.735022441574098,CCGT,2028,2033.0,0.5216666666666666,39.025,2.0,3.0000000000000004,0.43333333333333335,2.6666666666666665,2.6666666666666665,1.866666666666667,4.735022441574098,0.01,existing
LV00,1051.0,CCGT,2028,2036.0,0.5216666666666666,39.025,2.0,3.0000000000000004,0.43333333333333335,2.6666666666666665,2.6666666666666665,1.866666666666667,1051.0,0.01,existing
MD00,436.0485537190083,CCGT,2028,2036.0,0.5216666666666666,39.025,2.0,3.0000000000000004,0.43333333333333335,2.6666666666666665,2.6666666666666665,1.866666666666667,436.0485537190083,0.01,existing
MK00,268.42105263157896,CCGT,2028,2036.0,0.5216666666666666,39.025,2.0,3.0000000000000004,0.43333333333333335,2.6666666666666665,2.6666666666666665,1.866666666666667,268.42105263157896,0.01,existing
MK00,131.57894736842104,CCGT,2030,inf,0.5216666666666666,39.025,2.0,3.0000000000000004,0.43333333333333335,2.6666666666666665,2.6666666666666665,1.866666666666667,131.57894736842104,0.01,existing
MT00,280.15549445980076,CCGT,2028,2036.0,0.5216666666666666,39.025,2.0,3.0000000000000004,0.43333333333333335,2.6666666666666665,2.6666666666666665,1.866666666666667,280.15549445980076,0.01,existing
MT00,118.37556103935248,CCGT,2030,inf,0.5216666666666666,39.025,2.0,3.0000000000000004,0.43333333333333335,2.6666666666666665,2.6666666666666665,1.866666666666667,118.37556103935248,0.01,existing
NL00,3567.4409406734376,CCGT,2028,2030.0,0.5216666666666666,39.025,2.0,3.0000000000000004,0.43333333333333335,2.6666666666666665,2.6666666666666665,1.866666666666667,3567.4409406734376,0.01,existing
NL00,754.2097808658473,CCGT,2028,2035.0,0.5216666666666666,39.025,2.0,3.0000000000000004,0.43333333333333335,2.6666666666666665,2.6666666666666665,1.866666666666667,754.2097808658473,0.01,existing
NL00,11342.779796900053,CCGT,2028,2036.0,0.5216666666666666,39.025,2.0,3.0000000000000004,0.43333333333333335,2.6666666666666665,2.6666666666666665,1.866666666666667,11342.779796900053,0.01,existing
NL00,286.77177979689986,CCGT,2033,inf,0.5216666666666666,39.025,2.0,3.0000000000000004,0.43333333333333335,2.6666666666666665,2.6666666666666665,1.866666666666667,286.77177979689986,0.01,existing
NOS2,14.0,CCGT,2028,2036.0,0.5216666666666666,39.025,2.0,3.0000000000000004,0.43333333333333335,2.6666666666666665,2.6666666666666665,1.866666666666667,14.0,0.01,existing
NOS3,7.0,CCGT,2028,2036.0,0.5216666666666666,39.025,2.0,3.0000000000000004,0.43333333333333335,2.6666666666666665,2.6666666666666665,1.866666666666667,7.0,0.01,existing
PT00,491.33433133732547,CCGT,2028,2033.0,0.5216666666666666,39.025,2.0,3.0000000000000004,0.43333333333333335,2.6666666666666665,2.6666666666666665,1.866666666666667,491.33433133732547,0.01,existing
PT00,387.8955247399938,CCGT,2028,2035.0,0.5216666666666666,39.025,2.0,3.0000000000000004,0.43333333333333335,2.6666666666666665,2.6666666666666665,1.866666666666667,387.8955247399938,0.01,existing
PT00,1216.8697342157789,CCGT,2028,2036.0,0.5216666666666666,39.025,2.0,3.0000000000000004,0.43333333333333335,2.6666666666666665,2.6666666666666665,1.866666666666667,1216.8697342157789,0.01,existing
PT00,99.04753650593557,CCGT,2030,inf,0.5216666666666666,39.025,2.0,3.0000000000000004,0.43333333333333335,2.6666666666666665,2.6666666666666665,1.866666666666667,99.04753650593557,0.01,existing
